Altium Designer Pick and Place Locations
\\Mac\Home\Desktop\TE0123\Pick Place for TE0123.V2_Placa_2022-08-20.txt

========================================================================================================================
File Design Information:

Date:       20/08/22
Time:       18:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description 
""         ""                         TopOverlay  ""                              0.000         0.000         0        ""          
""         ""                         TopOverlay  ""                              0.000         0.000         0        ""          
JP1        "SOLDER JUMPER 2_PADS"     TopLayer    SOLDER_JUMPER_2_PADS            0.000         0.000         90       ""          
MAIN       SMD-5032_2P                TopLayer    SMD-5032_2P                     4699.180      2585.980      0        ""          
RTC        SMD-3215_2P                TopLayer    SMD-3215_2P                     3810.875      2719.050      0        ""          
R44        49.9R                      TopLayer    R0603                           2481.500      1788.000      0        ""          
C27        100nF                      TopLayer    C0603                           2308.000      1751.400      90       ""          
R45        0R                         TopLayer    0603                            2212.700      2593.000      0        ""          
R46        49.9R                      TopLayer    R0603                           2484.550      1908.000      180      ""          
R47        49.9R                      TopLayer    R0603                           2717.130      2031.570      90       ""          
R48        49.9R                      TopLayer    R0603                           2571.570      2028.770      0        ""          
C28        100nF                      TopLayer    C0603                           2517.100      2176.600      90       ""          
OTGID      Header-Male-2.54_1x2       TopLayer    HDR-2X1/2.54                    2183.000      2803.000      0        ""          
C6         100nF                      TopLayer    C0603                           3697.800      3230.800      0        ""          
C8         100nF                      TopLayer    C0603                           4264.700      2594.900      90       ""          
C9         100nF                      TopLayer    C0603                           4510.500      2595.000      90       ""          
C11        100nF                      TopLayer    C0603                           4723.400      3073.400      180      ""          
C12        100nF                      TopLayer    C0603                           4723.400      3348.900      180      ""          
U1         MK64FN1M0VLL12             TopLayer    LQFP-100_14X14X05P              4195.800      3112.800      0        ""          
C13        100nF                      TopLayer    C0603                           4178.000      3651.400      90       ""          
C10        100nF                      TopLayer    C0603                           3733.200      2880.400      90       ""          
RESET      "6*6*12SMD Tactile Switch" TopLayer    TACTILE_SWITCH                  5770.250      1822.900      0        ""          
R2         10K                        TopLayer    R0603                           4687.400      2929.500      90       ""          
D6         L1N4148WT1G                TopLayer    SOD-123                         6241.800      1715.600      270      ""          
C2         100nF                      TopLayer    C0603                           6398.500      1748.750      90       ""          
D3         L1N4148WT1G                TopLayer    SOD-123                         6063.600      1717.800      270      ""          
D4         L1N4148WT1G                TopLayer    SOD-123                         6241.100      1931.300      270      ""          
R1         10K                        TopLayer    R0603                           3658.000      3076.500      90       ""          
R5         0R                         TopLayer    0603                            4744.700      2745.000      0        ""          
D5         L1N4148WT1G                TopLayer    SOD-123                         6557.200      1932.100      270      ""          
R3         0R                         TopLayer    0603                            3575.700      2876.290      270      ""          
R4         0R                         TopLayer    0603                            3408.600      2808.200      270      ""          
U4         MCP2562-E/SN               TopLayer    SOP-8_150mil                    6358.000      2933.000      0        ""          
U6         MAX485ESA+T                TopLayer    SOIC-8_150mil                   6002.000      3383.000      0        ""          
RXM        LTST-C193TGKT-5A           TopLayer    0603                            2955.600      3073.190      270      ""          
R24        4.7K                       TopLayer    0603                            2955.600      2896.400      90       ""          
R23        2.2K                       TopLayer    0603                            2797.900      2896.400      90       ""          
TXM        LTST-C193KRKT-5A           TopLayer    0603                            2797.900      3073.190      270      ""          
D17        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6498.900      3197.300      90       ""          
D14        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6308.000      3362.000      270      ""          
D15        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6498.900      3520.300      270      ""          
U7         MAX485ESA+T                TopLayer    SOIC-8_150mil                   5702.000      2483.000      0        ""          
R33        470R                       TopLayer    R0805                           6056.000      2681.600      270      ""          
R34        470R                       TopLayer    R0805                           6108.050      2245.400      90       ""          
L2         330R                       TopLayer    L0805                           6636.700      1668.100      270      ""          
D18        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6308.000      2462.000      270      ""          
D20        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6498.900      2301.600      90       ""          
D19        B160-13-F                  TopLayer    SMA(DO-214ACA)                  6498.900      2624.600      270      ""          
RXE        LTST-C193TGKT-5A           TopLayer    0603                            3270.000      3073.190      270      ""          
R26        4.7K                       TopLayer    0603                            3270.000      2896.400      90       ""          
R25        2.2K                       TopLayer    0603                            3113.800      2896.400      90       ""          
TXE        LTST-C193KRKT-5A           TopLayer    0603                            3113.800      3073.190      270      ""          
R39        27R                        TopLayer    R0805                           6270.600      2208.000      180      ""          
R35        27R                        TopLayer    R0805                           6274.500      2719.100      180      ""          
C24        100nF                      TopLayer    C0603                           6123.000      3584.600      270      ""          
C25        100nF                      TopLayer    C0603                           6125.100      2941.350      270      ""          
C26        100nF                      TopLayer    C0603                           5855.150      2659.900      180      ""          
L1         330R                       TopLayer    L0805                           1745.000      2847.000      180      ""          
D16        NUP2201MR6T1G              TopLayer    SOT-23-6                        2160.450      3085.150      270      ""          
R38        0R                         TopLayer    0603                            2158.200      3260.400      180      ""          
USB1       DS1104-B60S                TopLayer    MICRO-USB-13                    1830.785      3134.500      180      ""          
